GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CA8001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total employees
"G4701870","1970","Tennessee","47","Williamson","187","Williamson, TN",6062
"G4701890","1970","Tennessee","47","Wilson","189","Wilson, TN",7939
"G4709990","1970","Tennessee","47","Remainder of Tennessee","999","Tennessee Statewide No Fixed Loc",10185
"G4800010","1970","Texas","48","Anderson","001","Anderson, TX",4640
"G4800030","1970","Texas","48","Andrews","003","Andrews, TX",2967
"G4800050","1970","Texas","48","Angelina","005","Angelina, TX",14793
"G4800070","1970","Texas","48","Aransas","007","Aransas, TX",1593
"G4800090","1970","Texas","48","Archer","009","Archer, TX",704
"G4800110","1970","Texas","48","Armstrong","011","Armstrong, TX",116
"G4800130","1970","Texas","48","Atascosa","013","Atascosa, TX",2175
"G4800150","1970","Texas","48","Austin","015","Austin, TX",2187
"G4800170","1970","Texas","48","Bailey","017","Bailey, TX",1122
"G4800190","1970","Texas","48","Bandera","019","Bandera, TX",541
"G4800210","1970","Texas","48","Bastrop","021","Bastrop, TX",2003
"G4800230","1970","Texas","48","Baylor","023","Baylor, TX",809
"G4800250","1970","Texas","48","Bee","025","Bee, TX",3047
"G4800270","1970","Texas","48","Bell","027","Bell, TX",19264
"G4800290","1970","Texas","48","Bexar","029","Bexar, TX",183468
"G4800310","1970","Texas","48","Blanco","031","Blanco, TX",756
"G4800330","1970","Texas","48","Borden","033","Borden, TX",75
"G4800350","1970","Texas","48","Bosque","035","Bosque, TX",1650
"G4800370","1970","Texas","48","Bowie","037","Bowie, TX",21270
"G4800390","1970","Texas","48","Brazoria","039","Brazoria, TX",24034
"G4800410","1970","Texas","48","Brazos","041","Brazos, TX",9945
"G4800430","1970","Texas","48","Brewster","043","Brewster, TX",951
"G4800450","1970","Texas","48","Briscoe","045","Briscoe, TX",209
"G4800470","1970","Texas","48","Brooks","047","Brooks, TX",819
"G4800490","1970","Texas","48","Brown","049","Brown, TX",5837
"G4800510","1970","Texas","48","Burleson","051","Burleson, TX",1034
"G4800530","1970","Texas","48","Burnet","053","Burnet, TX",1279
"G4800550","1970","Texas","48","Caldwell","055","Caldwell, TX",2244
"G4800570","1970","Texas","48","Calhoun","057","Calhoun, TX",5824
"G4800590","1970","Texas","48","Callahan","059","Callahan, TX",744
"G4800610","1970","Texas","48","Cameron","061","Cameron, TX",25270
"G4800630","1970","Texas","48","Camp","063","Camp, TX",1304
"G4800650","1970","Texas","48","Carson","065","Carson, TX",2438
"G4800670","1970","Texas","48","Cass","067","Cass, TX",2659
"G4800690","1970","Texas","48","Castro","069","Castro, TX",1199
"G4800710","1970","Texas","48","Chambers","071","Chambers, TX",1740
"G4800730","1970","Texas","48","Cherokee","073","Cherokee, TX",6569
"G4800750","1970","Texas","48","Childress","075","Childress, TX",1301
"G4800770","1970","Texas","48","Clay","077","Clay, TX",767
"G4800790","1970","Texas","48","Cochran","079","Cochran, TX",462
"G4800810","1970","Texas","48","Coke","081","Coke, TX",282
"G4800830","1970","Texas","48","Coleman","083","Coleman, TX",1691
"G4800850","1970","Texas","48","Collin","085","Collin, TX",9108
"G4800870","1970","Texas","48","Collingsworth","087","Collingsworth, TX",410
"G4800890","1970","Texas","48","Colorado","089","Colorado, TX",3066
"G4800910","1970","Texas","48","Comal","091","Comal, TX",6017
"G4800930","1970","Texas","48","Comanche","093","Comanche, TX",1583
"G4800950","1970","Texas","48","Concho","095","Concho, TX",237
"G4800970","1970","Texas","48","Cooke","097","Cooke, TX",5792
"G4800990","1970","Texas","48","Coryell","099","Coryell, TX",1712
"G4801010","1970","Texas","48","Cottle","101","Cottle, TX",285
"G4801030","1970","Texas","48","Crane","103","Crane, TX",1466
"G4801050","1970","Texas","48","Crockett","105","Crockett, TX",552
"G4801070","1970","Texas","48","Crosby","107","Crosby, TX",828
"G4801090","1970","Texas","48","Culberson","109","Culberson, TX",816
"G4801110","1970","Texas","48","Dallam","111","Dallam, TX",1114
"G4801130","1970","Texas","48","Dallas","113","Dallas, TX",586139
"G4801150","1970","Texas","48","Dawson","115","Dawson, TX",2722
"G4801170","1970","Texas","48","Deaf Smith","117","Deaf Smith, TX",3614
"G4801190","1970","Texas","48","Delta","119","Delta, TX",385
"G4801210","1970","Texas","48","Denton","121","Denton, TX",10481
"G4801230","1970","Texas","48","DeWitt","123","De Witt, TX",4303
"G4801250","1970","Texas","48","Dickens","125","Dickens, TX",293
"G4801270","1970","Texas","48","Dimmit","127","Dimmit, TX",519
"G4801290","1970","Texas","48","Donley","129","Donley, TX",374
"G4801310","1970","Texas","48","Duval","131","Duval, TX",1076
"G4801330","1970","Texas","48","Eastland","133","Eastland, TX",3619
"G4801350","1970","Texas","48","Ector","135","Ector, TX",27242
"G4801370","1970","Texas","48","Edwards","137","Edwards, TX",155
"G4801390","1970","Texas","48","Ellis","139","Ellis, TX",8270
"G4801410","1970","Texas","48","El Paso","141","El Paso, TX",81269
"G4801430","1970","Texas","48","Erath","143","Erath, TX",2386
"G4801450","1970","Texas","48","Falls","145","Falls, TX",1841
"G4801470","1970","Texas","48","Fannin","147","Fannin, TX",4086
"G4801490","1970","Texas","48","Fayette","149","Fayette, TX",2589
"G4801510","1970","Texas","48","Fisher","151","Fisher, TX",965
"G4801530","1970","Texas","48","Floyd","153","Floyd, TX",1204
"G4801550","1970","Texas","48","Foard","155","Foard, TX",198
"G4801570","1970","Texas","48","Fort Bend","157","Fort Bend, TX",7016
"G4801590","1970","Texas","48","Franklin","159","Franklin, TX",527
"G4801610","1970","Texas","48","Freestone","161","Freestone, TX",1489
"G4801630","1970","Texas","48","Frio","163","Frio, TX",1006
"G4801650","1970","Texas","48","Gaines","165","Gaines, TX",2026
"G4801670","1970","Texas","48","Galveston","167","Galveston, TX",39439
"G4801690","1970","Texas","48","Garza","169","Garza, TX",1185
"G4801710","1970","Texas","48","Gillespie","171","Gillespie, TX",2383
"G4801730","1970","Texas","48","Glasscock","173","Glasscock, TX",130
"G4801750","1970","Texas","48","Goliad","175","Goliad, TX",374
"G4801770","1970","Texas","48","Gonzales","177","Gonzales, TX",2643
"G4801790","1970","Texas","48","Gray","179","Gray, TX",8060
"G4801810","1970","Texas","48","Grayson","181","Grayson, TX",18284
"G4801830","1970","Texas","48","Gregg","183","Gregg, TX",22878
"G4801850","1970","Texas","48","Grimes","185","Grimes, TX",1376
"G4801870","1970","Texas","48","Guadalupe","187","Guadalupe, TX",4516
"G4801890","1970","Texas","48","Hale","189","Hale, TX",6113
"G4801910","1970","Texas","48","Hall","191","Hall, TX",641
"G4801930","1970","Texas","48","Hamilton","193","Hamilton, TX",1215
"G4801950","1970","Texas","48","Hansford","195","Hansford, TX",1733
"G4801970","1970","Texas","48","Hardeman","197","Hardeman, TX",1532
"G4801990","1970","Texas","48","Hardin","199","Hardin, TX",4977
"G4802010","1970","Texas","48","Harris","201","Harris, TX",630227
"G4802030","1970","Texas","48","Harrison","203","Harrison, TX",13497
"G4802050","1970","Texas","48","Hartley","205","Hartley, TX",86
"G4802070","1970","Texas","48","Haskell","207","Haskell, TX",946
"G4802090","1970","Texas","48","Hays","209","Hays, TX",4852
"G4802110","1970","Texas","48","Hemphill","211","Hemphill, TX",569
"G4802130","1970","Texas","48","Henderson","213","Henderson, TX",4268
"G4802150","1970","Texas","48","Hidalgo","215","Hidalgo, TX",27807
"G4802170","1970","Texas","48","Hill","217","Hill, TX",3622
"G4802190","1970","Texas","48","Hockley","219","Hockley, TX",2815
"G4802210","1970","Texas","48","Hood","221","Hood, TX",452
"G4802230","1970","Texas","48","Hopkins","223","Hopkins, TX",4644
"G4802250","1970","Texas","48","Houston","225","Houston, TX",5190
"G4802270","1970","Texas","48","Howard","227","Howard, TX",7058
"G4802290","1970","Texas","48","Hudspeth","229","Hudspeth, TX",203
"G4802310","1970","Texas","48","Hunt","231","Hunt, TX",10922
"G4802330","1970","Texas","48","Hutchinson","233","Hutchinson, TX",6945
"G4802350","1970","Texas","48","Irion","235","Irion, TX",128
"G4802370","1970","Texas","48","Jack","237","Jack, TX",888
"G4802390","1970","Texas","48","Jackson","239","Jackson, TX",1747
"G4802410","1970","Texas","48","Jasper","241","Jasper, TX",3351
"G4802430","1970","Texas","48","Jeff Davis","243","Jeff Davis, TX",46
"G4802450","1970","Texas","48","Jefferson","245","Jefferson, TX",77817
"G4802470","1970","Texas","48","Jim Hogg","247","Jim Hogg, TX",540
"G4802490","1970","Texas","48","Jim Wells","249","Jim Wells, TX",6117
"G4802510","1970","Texas","48","Johnson","251","Johnson, TX",6220
"G4802530","1970","Texas","48","Jones","253","Jones, TX",1995
"G4802550","1970","Texas","48","Karnes","255","Karnes, TX",1994
"G4802570","1970","Texas","48","Kaufman","257","Kaufman, TX",4436
"G4802590","1970","Texas","48","Kendall","259","Kendall, TX",689
"G4802610","1970","Texas","48","Kenedy","261","Kenedy, TX",40
"G4802630","1970","Texas","48","Kent","263","Kent, TX",63
"G4802650","1970","Texas","48","Kerr","265","Kerr, TX",3688
"G4802670","1970","Texas","48","Kimble","267","Kimble, TX",416
"G4802690","1970","Texas","48","King","269","King, TX",21
"G4802710","1970","Texas","48","Kinney","271","Kinney, TX",209
"G4802730","1970","Texas","48","Kleberg","273","Kleberg, TX",4773
"G4802750","1970","Texas","48","Knox","275","Knox, TX",505
"G4802770","1970","Texas","48","Lamar","277","Lamar, TX",8951
"G4802790","1970","Texas","48","Lamb","279","Lamb, TX",2072
"G4802810","1970","Texas","48","Lampasas","281","Lampasas, TX",1342
"G4802830","1970","Texas","48","La Salle","283","La Salle, TX",331
"G4802850","1970","Texas","48","Lavaca","285","Lavaca, TX",2306
"G4802870","1970","Texas","48","Lee","287","Lee, TX",1117
"G4802890","1970","Texas","48","Leon","289","Leon, TX",766
"G4802910","1970","Texas","48","Liberty","291","Liberty, TX",5159
"G4802930","1970","Texas","48","Limestone","293","Limestone, TX",1915
"G4802950","1970","Texas","48","Lipscomb","295","Lipscomb, TX",430
"G4802970","1970","Texas","48","Live Oak","297","Live Oak, TX",802
"G4802990","1970","Texas","48","Llano","299","Llano, TX",836
"G4803010","1970","Texas","48","Loving","301","Loving, TX",29
"G4803030","1970","Texas","48","Lubbock","303","Lubbock, TX",44822
"G4803050","1970","Texas","48","Lynn","305","Lynn, TX",730
"G4803070","1970","Texas","48","McCulloch","307","McCulloch, TX",1435
"G4803090","1970","Texas","48","McLennan","309","McLennan, TX",40988
"G4803110","1970","Texas","48","McMullen","311","McMullen, TX",92
"G4803130","1970","Texas","48","Madison","313","Madison, TX",800
"G4803150","1970","Texas","48","Marion","315","Marion, TX",1115
"G4803170","1970","Texas","48","Martin","317","Martin, TX",404
"G4803190","1970","Texas","48","Mason","319","Mason, TX",432
"G4803210","1970","Texas","48","Matagorda","321","Matagorda, TX",4722
"G4803230","1970","Texas","48","Maverick","323","Maverick, TX",2706
"G4803250","1970","Texas","48","Medina","325","Medina, TX",2316
"G4803270","1970","Texas","48","Menard","327","Menard, TX",330
"G4803290","1970","Texas","48","Midland","329","Midland, TX",22758
"G4803310","1970","Texas","48","Milam","331","Milam, TX",3882
"G4803330","1970","Texas","48","Mills","333","Mills, TX",573
"G4803350","1970","Texas","48","Mitchell","335","Mitchell, TX",1341
"G4803370","1970","Texas","48","Montague","337","Montague, TX",2759
"G4803390","1970","Texas","48","Montgomery","339","Montgomery, TX",5321
"G4803410","1970","Texas","48","Moore","341","Moore, TX",2827
